Step,Scaffold,SMILES,mw,rb,hd,ha,fc,logp,max sim,min sim,simsdiff,simp,raw_mw,raw_rb,raw_hd,raw_ha,raw_fc,raw_logp,raw_max sim,raw_min sim,raw_simsdiff,raw_simp,total_score,ID
437.0,O=C1CCO1,CC1C(=O)OC1C[N+](C)(C)C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8724290132522583,0.9765666723251343,158.2209930419922,2.0,0.0,2.0,1.0,0.2540999948978424,0.6590909361839294,0.2926829159259796,0.03737663850188255,0.9765666723251343,0.9848995208740234,MUBD Demo_0
1820.0,C1=COCOC1,C[N+](C)(C)CC1OC=CCO1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8557760119438171,0.9846457242965698,158.2209930419922,2.0,0.0,2.0,1.0,0.579200029373169,0.7142857313156128,0.2931034564971924,0.04200081154704094,0.9846457242965698,0.9840421676635742,MUBD Demo_1
544.0,O=C1C=CCO1,CC1=CC(=O)OC1C[N+](C)(C)C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8704572319984436,0.968693733215332,170.23199462890625,2.0,0.0,2.0,1.0,0.564300000667572,0.7045454382896423,0.3448275923728943,0.03794992342591286,0.968693733215332,0.9839151501655579,MUBD Demo_2
1353.0,O=C1C=CO1,CC1=C(C[N+](C)(C)C)OC1=O,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8519936800003052,0.985996663570404,156.2050018310547,2.0,0.0,2.0,1.0,0.5234000086784363,0.6170212626457214,0.2950819730758667,0.04298828914761543,0.985996663570404,0.9837989807128906,MUBD Demo_3
912.0,C1COCOC1,C[N+](C)(C)CC1CCOCO1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8305583000183105,0.9998182654380798,160.23699951171875,2.0,0.0,2.0,1.0,0.45559999346733093,0.7111111283302307,0.3333333432674408,0.04822376370429993,0.9998182654380798,0.9830376505851746,MUBD Demo_4
1484.0,C1=COCCCO1,C[N+](C)(C)CC1CCOC=CO1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8968713283538818,0.9320661425590515,172.2480010986328,2.0,0.0,2.0,1.0,0.9692999720573425,0.7441860437393188,0.32203391194343567,0.029548704624176025,0.9320661425590515,0.9828937649726868,MUBD Demo_5
463.0,C1=CCOOC1,C[N+](C)(C)CC1C=CCOO1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8441135883331299,0.9846457242965698,158.2209930419922,2.0,0.0,2.0,1.0,0.579200029373169,0.7209302186965942,0.28333333134651184,0.044980552047491074,0.9846457242965698,0.9828759431838989,MUBD Demo_6
689.0,O=C1C=CCCO1,C[N+](C)(C)CC1CC=CC(=O)O1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8582047820091248,0.968693733215332,170.23199462890625,2.0,0.0,2.0,1.0,0.564300000667572,0.6744186282157898,0.2931034564971924,0.041355304419994354,0.968693733215332,0.9826898574829102,MUBD Demo_7
1168.0,O=C1CCO1,CC[N+](C)(C)CC1CC(=O)O1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8743464350700378,0.948252260684967,158.2209930419922,3.0,0.0,2.0,1.0,0.39820000529289246,0.6888889074325562,0.3166666626930237,0.03681185096502304,0.948252260684967,0.9822599291801453,MUBD Demo_8
1298.0,C1=COCOC1,C[N+](C)(C)CC1C=COCO1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.837673544883728,0.9846457242965698,158.2209930419922,2.0,0.0,2.0,1.0,0.579200029373169,0.7209302186965942,0.28333333134651184,0.04654858633875847,0.9846457242965698,0.9822319149971008,MUBD Demo_9
1312.0,O=C1C=CCO1,CC1(C[N+](C)(C)C)C=CC(=O)O1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8506969809532166,0.968693733215332,170.23199462890625,2.0,0.0,2.0,1.0,0.564300000667572,0.75,0.3125,0.04332202300429344,0.968693733215332,0.9819390177726746,MUBD Demo_10
