Step,Scaffold,SMILES,mw,rb,hd,ha,fc,logp,max sim,min sim,simsdiff,simp,raw_mw,raw_rb,raw_hd,raw_ha,raw_fc,raw_logp,raw_max sim,raw_min sim,raw_simsdiff,raw_simp,total_score,ID
927.0,,C[N+](C)(C)CCC(=O)CO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8039127588272095,0.9463433027267456,146.2100067138672,4.0,1.0,2.0,1.0,-0.35589998960494995,0.707317054271698,0.3050847351551056,0.054043032228946686,0.9463433027267456,0.9750256538391113,MUBD Demo_0
1451.0,C1C[NH2+]1,COC1(C(=O)O)C[N+]1(C)C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.802401602268219,0.9395419359207153,146.16600036621094,2.0,1.0,2.0,1.0,-0.49630001187324524,0.5438596606254578,0.3650793731212616,0.05435437336564064,0.9395419359207153,0.974194347858429,MUBD Demo_1
885.0,,C#CC[N+](C)(CCO)COC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8180863857269287,0.8921991586685181,158.2209930419922,5.0,1.0,2.0,1.0,-0.3375999927520752,0.6904761791229248,0.30000001192092896,0.051029957830905914,0.8921991586685181,0.9710286259651184,MUBD Demo_2
1609.0,C1C[NH2+]1,COC(C)C1(O)C[N+]1(C)C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7464069724082947,0.9488720297813416,146.2100067138672,2.0,1.0,2.0,1.0,-0.20010000467300415,0.557692289352417,0.35483869910240173,0.06483712792396545,0.9488720297813416,0.9695278406143188,MUBD Demo_3
847.0,C1=C[NH2+]C1,CNC(=O)OCC1=CC[N+]1(C)C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7929728627204895,0.8953030109405518,171.22000122070312,2.0,1.0,2.0,1.0,0.31630000472068787,0.6851851940155029,0.3731343150138855,0.056257665157318115,0.8953030109405518,0.9688275456428528,MUBD Demo_4
1468.0,C1=C[NH2+]C1,C[N+]1(C)CC=C1COC(N)=O,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7520523071289062,0.9340304136276245,157.1929931640625,2.0,1.0,2.0,1.0,0.05559999868273735,0.698113203048706,0.3787878751754761,0.06385839730501175,0.9340304136276245,0.9686082601547241,MUBD Demo_5
776.0,C1C[NH2+]C1,CNC(=O)OC1C[N+](C)(C)C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.792182445526123,0.8922618627548218,159.20899963378906,1.0,1.0,2.0,1.0,-0.19900000095367432,0.6666666865348816,0.3606557250022888,0.056414272636175156,0.8922618627548218,0.9684444665908813,MUBD Demo_6
1444.0,C1COC1,C#CC[N+](C)(C)C1CC(CO)O1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7495530247688293,0.9338600635528564,170.23199462890625,3.0,1.0,2.0,1.0,-0.19670000672340393,0.5882353186607361,0.35483869910240173,0.0642935037612915,0.9338600635528564,0.9683412313461304,MUBD Demo_7
1038.0,,CC[N+](C)(CC#N)CCO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7367739677429199,0.9438093900680542,143.2100067138672,4.0,1.0,2.0,1.0,-0.031220000237226486,0.6428571343421936,0.3571428656578064,0.06647459417581558,0.9438093900680542,0.9680584073066711,MUBD Demo_8
1768.0,,C[N+](C)(C)CCOCCCN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8395638465881348,0.8387232422828674,161.2689971923828,6.0,1.0,2.0,1.0,0.057999998331069946,0.7021276354789734,0.30000001192092896,0.046093642711639404,0.8387232422828674,0.967828631401062,MUBD Demo_9
